Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V374018,V374018,374018,5705023740180,Vikan ErgoClean mopframe 40cm pocket click-fit,SimpleProduct,Not Found,"€ 36,07","12/15/2025, 11:20 PM"
V558552,V558552,558552,5705025585529,Vikan Transport 558552 metalen stofblik,SimpleProduct,Not Found,"€ 8,65","12/15/2025, 11:20 PM"
V582510,V582510,582510,5705025825106,Vikan ErgoClean 582510 enkele houder,SimpleProduct,Not Found,"€ 20,62","12/15/2025, 11:20 PM"
V70665,V70665,70665,5705020706653,"Vikan Hygiene 7066-5 vloerveger, zacht",SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V375440,V375440,375440,5705023754408,Vikan FLIP mopframe 40cm klittenband click-fit,SimpleProduct,Not Found,"€ 39,94","12/15/2025, 11:20 PM"
V70075,V70075,70075,5705020700750,"Vikan Hygiene 7007-5 roerspatel,",SimpleProduct,Not Found,"€ 103,77","12/15/2025, 11:20 PM"
V70434,V70434,70434,5705020704345,Vikan Hygiene 7043-2 luiwagen medium 27cm,SimpleProduct,Not Found,"€ 24,03","12/15/2025, 11:20 PM"
V70095,V70095,70095,5705020700958,Vikan Hygiene 7009-5 roerspatel,SimpleProduct,Not Found,"€ 115,06","12/15/2025, 11:20 PM"
V70652,V70652,70652,5010424070652,"Vikan 0706 snelkoppeling 1/2"""", kronkel -",SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V2517,V2517,2517,5705020025174,"Vikan Classic 2517 bezem 35cm, pvc",SimpleProduct,Not Found,"€ 15,16","12/15/2025, 11:20 PM"
V53743,V53743,53743,5705020537431,Vikan Hygiene 5374-3 buizenborstel,SimpleProduct,Not Found,"€ 47,87","12/15/2025, 11:20 PM"
V11005,V11005,11005,5705020110054,"Vikan Hygiene 1100-5 flacon 0,5 liter",SimpleProduct,Not Found,"€ 13,09","12/15/2025, 11:20 PM"
V547160,V547160,547160,5705025471600,Vikan 547160 Dry mop 24 klittenband breed 60cm kleur grijs,SimpleProduct,Not Found,"€ 96,06","12/15/2025, 11:20 PM"
V370400,V370400,370400,5705023704007,Vikan 370400 Superior mopframe klittenband breed 40 cm,SimpleProduct,Not Found,"€ 25,58","12/15/2025, 11:20 PM"
V5220,V5220,5220,5705020052200,Vikan Classic 5220 handborstel zacht 42cm,SimpleProduct,Not Found,"€ 10,47","12/15/2025, 11:20 PM"
V56216,V56216,56216,5705020562167,"Vikan Hygiene 5621-6 schop D-grip,",SimpleProduct,Not Found,"€ 68,14","12/15/2025, 11:20 PM"
V616,V616,616,15705020006163,Vikan Hygiene 0616 ophangrek rvs 48mm,SimpleProduct,Not Found,"€ 8,18","12/15/2025, 11:20 PM"
V454518,V454518,454518,5705024545180,Vikan ErgoClean 454518 bolstoffer zacht,SimpleProduct,Not Found,"€ 11,98","12/15/2025, 11:20 PM"
V618,V618,618,5705020006180,Vikan Hygiene 618 ophangrek rvs 47cm,SimpleProduct,Not Found,"€ 59,98","12/15/2025, 11:20 PM"
V525052,V525052,525052,5705025250526,Vikan Transport 525052 velgborstel zacht,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V380455,V380455,380455,5705023804554,Swish 380455 Superior klittenband 55cm,SimpleProduct,Not Found,"€ 12,91","12/15/2025, 11:20 PM"
V2977,V2977,2977,5705020029776,Vikan Hygiene 2977 telescoopsteel 2-6mtr,SimpleProduct,Not Found,"€ 355,58","12/15/2025, 11:20 PM"
V521152,V521152,521152,7330371006169,Vikan Transport 521152 microvezel reinigingsset,SimpleProduct,Not Found,"€ 10,27","12/15/2025, 11:20 PM"
V10182,V10182,10182,5705020101823,Vikan Hygiene 1018-1 ophangrek 4-6,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V374218,V374218,374218,5705023742184,Vikan mopframe 40cm klittenband click-fit,SimpleProduct,Not Found,"€ 29,52","12/15/2025, 11:20 PM"
V3180S,V3180S,3180S,5705020318009,Vikan Classic 3180-S veger 50cm zacht,SimpleProduct,Not Found,"€ 31,19","12/15/2025, 11:20 PM"
V524652,V524652,524652,5705025246529,"Vikan Transport handborstel kort zacht 11,5 cm breed",SimpleProduct,Not Found,"€ 21,94","12/15/2025, 11:20 PM"
V70125,V70125,70125,5705020701252,"Vikan Hygiene 7012-5 roerspatel, , pp",SimpleProduct,Not Found,"€ 41,61","12/15/2025, 11:20 PM"
V559018,V559018,559018,5705025590189,Stoffer en blik set met lange steel,SimpleProduct,Not Found,"€ 31,52","12/15/2025, 11:20 PM"
V549643,V549643,549643,5705025496436,Vikan DAMP 43 vlakmop 40cm klittenband blauw,SimpleProduct,Not Found,"€ 210,32","12/15/2025, 11:20 PM"
V10198,V10198,10198,5705020101984,Vikan Hygiene 1019-1 Aanvulset klemmen div. kleuren,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V41806,V41806,41806,5705020418068,Vikan Hygiene resin 4180-6 afwasborstel,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V56693,V56693,56693,5705022032316,"Handschpe Vikan 56693 Hygiene 0,5 ltr detecteerbaar",SimpleProduct,Not Found,"€ 13,99","12/15/2025, 11:20 PM"
V56659B,V56659B,56659B,5705022015340,Vikan Hygiene 56659 afsluitbare stoffer en blik set,SimpleProduct,Not Found,"€ 14,85","12/15/2025, 11:20 PM"
V45856,V45856,45856,5705020458569,Vikan UST 4585-6 handveger medium vezels 35x330mm,SimpleProduct,Not Found,"€ 25,42","12/15/2025, 11:20 PM"
V38935,V38935,38935,5705020389351,Vikan Resin werkborstel,SimpleProduct,Not Found,"€ 13,53","12/15/2025, 11:20 PM"
V549500,V549500,549500,15705025495009,Vikan Damp 42 pocketmop 40 cm,SimpleProduct,Not Found,"€ 95,02","12/15/2025, 11:20 PM"
V2947,V2947,2947,5705020029479,Vikan Classic 2947 steel 150 cm,SimpleProduct,Not Found,"€ 7,87","12/15/2025, 11:20 PM"
V45857,V45857,45857,5705020458576,Vikan UST 4585-7 handveger oranje medium vezels 35x330mm,SimpleProduct,Not Found,"€ 25,42","12/15/2025, 11:20 PM"
V580110,V580110,580110,5705025801100,Vikan ErgoClean 580110 trolley LARGE,SimpleProduct,Not Found,"€ 133,85","12/15/2025, 11:20 PM"
V582110,V582110,582110,5705025821108,Vikan ErgoClean 582110 houder opbergbox,SimpleProduct,Not Found,"€ 9,53","12/15/2025, 11:20 PM"
V526452,V526452,526452,5705020011047,Vikan Transport 526452 wasborstel 28cm,SimpleProduct,Not Found,"€ 4,80","12/15/2025, 11:20 PM"
