Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V56922,V56922,56922,5705020569227,Vikan emmer 20 liter ook voor opslag ingredienten,ChildProduct,Not Found,"€ 52,31","8/22/2025, 12:16 PM"
V29595,V29595,29595,5705020295959,Vikan Hygiene 2959 aluminium steel 150cm,ChildProduct,Not Found,"€ 11,31","8/22/2025, 12:16 PM"
V29155,V29155,29155,5705020029158,Vikan Hygiene 2915 bezem hard 33cm heavy duty,ChildProduct,Not Found,"€ 34,39","8/22/2025, 12:16 PM"
V56659,V56659,56659,5705022036741,Vikan 56659 Hygiene stoffer en blik set met borstel hardheid medium Zwart,ChildProduct,Not Found,"€ 37,01","8/22/2025, 12:16 PM"
V475552,V475552,475552,5705024755527,Vikan Transport 475552 wasborstel 26cm,ChildProduct,Not Found,"€ 36,72","8/22/2025, 12:16 PM"
V41925,V41925,41925,5705020419256,Vikan Hygiene 41925 afwasborstel hard 7x27cm wit,ChildProduct,Not Found,"€ 11,43","8/22/2025, 12:16 PM"
V29603,V29603,29603,5705020296031,Vikan 29603 ultra hygiene kunststof steel 130cm Blauw,ChildProduct,Not Found,"€ 24,36","8/22/2025, 12:16 PM"
V71405,V71405,71405,5705020714054,Vikan 7140 ultra hygiene vloertrekker 40cm vaste nek,ChildProduct,Not Found,"€ 29,75","8/22/2025, 12:16 PM"
V77715,V77715,77715,5705020777158,Vikan 7771-5 te cassette 25cm,ChildProduct,Not Found,"€ 7,89","8/22/2025, 12:16 PM"
V31663,V31663,31663,5705020316630,Vikan Hygiene 3166 rechte nek medium veger 30cm blauw,ChildProduct,Not Found,"€ 25,29","8/22/2025, 12:16 PM"
V70395,V70395,70395,5705020703959,Vikan Hygiene 7039-2 tankborstel medium 21cm,ChildProduct,Not Found,"€ 23,79","8/22/2025, 12:16 PM"
V77547,V77547,77547,5705020775475,Vikan 7754 klassieke vloertrekker 60cm vaste nek,ChildProduct,Not Found,"€ 32,28","8/22/2025, 12:16 PM"
V45896,V45896,45896,5705020458965,Vikan Hygiene 4589 handveger medium,ChildProduct,Not Found,"€ 11,82","8/22/2025, 12:16 PM"
V77112,V77112,77112,5705020771125,Vikan Hygiene 7711-2 handtrekker 25 cm vaste nek,ChildProduct,Not Found,"€ 14,62","8/22/2025, 12:16 PM"
V5381906,V5381906,5381906,5705022001817,Vikan Ultra Hygiene pijpenborstel medium-hard 90mm,ChildProduct,Not Found,"€ 17,47","8/22/2025, 12:16 PM"
V45812,V45812,45812,5705020458125,Vikan UST 4581-1 handveger zachte vezels 35x330mm Groen,ChildProduct,Not Found,"€ 25,42","8/22/2025, 12:16 PM"
V56673,V56673,56673,5705022032118,Handschep Vikan 56673 Hygiene 2ltr Recht Groot metal & x-ray detecteerbaar blauw,ChildProduct,Not Found,"€ 13,99","8/22/2025, 12:16 PM"
V77144,V77144,77144,5705020771446,Vikan 7714 hygiene vloertrekker 60cm vaste nek,ChildProduct,Not Found,"€ 32,28","8/22/2025, 12:16 PM"
V55006,V55006,55006,5705020550065,Vikan 5500 Padhouder met steelaansluiting,ChildProduct,Not Found,"€ 35,71","8/22/2025, 12:16 PM"
V70423,V70423,70423,5705022021419,"Vikan 70422 luiwagen groen harde vezel 22,5 cm",ChildProduct,Not Found,"€ 20,92","8/22/2025, 12:16 PM"
V29355,V29355,29355,5705020029356,Vikan 2935 aluminium steel 130 cm,ChildProduct,Not Found,"€ 22,70","8/22/2025, 12:16 PM"
V41952,V41952,41952,5705020419522,Vikan Hygiene smalle handborstel hard 20mm groen,ChildProduct,Not Found,"€ 6,30","8/22/2025, 12:16 PM"
V6154,V6154,6154,5705020061547,Vikan Hygiene 6154 ophangrek 24cm Rood,ChildProduct,Not Found,"€ 23,34","8/22/2025, 12:16 PM"
V45874,V45874,45874,5705020458743,Vikan Hygiene 458774 handveger zacht rood,ChildProduct,Not Found,"€ 11,82","8/22/2025, 12:16 PM"
V31782,V31782,31782,5705020317828,Vikan Hygiene 3178 zachte veger split 40cm,ChildProduct,Not Found,"€ 26,81","8/22/2025, 12:16 PM"
V5380903,V5380903,5380903,5705025380391,Vikan Hygiene 5380902 pijpenborstel hard 90mm,ChildProduct,Not Found,"€ 16,47","8/22/2025, 12:16 PM"
V691013,V691013,691013,5705026910139,Vikan ErgoClean ORIGINAL microvezeldoek 32cm 5st,ChildProduct,Not Found,"€ 25,66","8/22/2025, 12:16 PM"
V45879,V45879,45879,5705020458798,Vikan Hygiene 45879 handveger zacht zwart,ChildProduct,Not Found,"€ 11,82","8/22/2025, 12:16 PM"
V29094,V29094,29094,5705022019812,Vikan Hygiene 29094 vloerschraper 26cm RVS met afgeronde hoeken rood,ChildProduct,Not Found,"€ 90,53","8/22/2025, 12:16 PM"
V10113,V10113,10113,5705022028548,Vikan Hygiene 10113 Hi-Flex ophangrek 3 klemmen 2 haken Blauw,ChildProduct,Not Found,"€ 92,37","8/22/2025, 12:16 PM"
V41954,V41954,41954,5705020419546,Vikan Hygiene smalle handborstel hard 20mm rood,ChildProduct,Not Found,"€ 6,30","8/22/2025, 12:16 PM"
V53562,V53562,53562,5705020535628,STANDALONE-Vikan Hygiene 5356-2 pijpenborstel 60 mm,ChildProduct,Not Found,"€ 11,87","8/22/2025, 12:16 PM"
V56672,V56672,56672,5705022032095,Handschep Vikan 56672 Hygiene 2ltr Recht Groot metal & x-ray detecteerbaar groen,ChildProduct,Not Found,"€ 13,99","8/22/2025, 12:16 PM"
V704788,V704788,704788,5705022014657,"Vikan Hygiene 704788 hoekschrobber hard 26,5 cm grijs",ChildProduct,Not Found,"€ 22,87","8/22/2025, 12:16 PM"
V40609,V40609,40609,5705020406096,"Vikan Hygiene 4060 handschraper 7,5 cm",ChildProduct,Not Found,"€ 3,90","8/22/2025, 12:16 PM"
V5552304,V5552304,5552304,5705022015838,Vikan 5552302 plat kwastje superzacht 30mm breed,ChildProduct,Not Found,"€ 4,05","8/22/2025, 12:16 PM"
V71703,V71703,71703,5705020717031,Vikan 7170 ultra hygiene vloertrekker 70cm vaste nek,ChildProduct,Not Found,"€ 38,09","8/22/2025, 12:16 PM"
V53566,V53566,53566,5705020535666,STANDALONE-Vikan Hygiene 5356-2 pijpenborstel 60 mm,ChildProduct,Not Found,"€ 11,87","8/22/2025, 12:16 PM"
V77524,V77524,77524,5705020775246,Vikan 7752 klassieke vloertrekker 40cm vaste nek,ChildProduct,Not Found,"€ 19,81","8/22/2025, 12:16 PM"
V31731,V31731,31731,5705020317316,Vikan UST 3173-1 vloerveger 40cm medium vezels,ChildProduct,Not Found,"€ 53,09","8/22/2025, 12:16 PM"
V31713,V31713,31713,5705020317132,Vikan UST 31711 vloerveger zacht 40cm,ChildProduct,Not Found,"€ 53,09","8/22/2025, 12:16 PM"
V70134,V70134,70134,5705020701344,Vikan 70134 Flexibel spatelblad met steelaansluiting 11cm rood,ChildProduct,Not Found,"€ 13,20","8/22/2025, 12:17 PM"
V77536,V77536,77536,5705020775369,Vikan 7753 klassieke vloertrekker 50cm vaste nek div.kleuren,ChildProduct,Not Found,"€ 29,91","8/22/2025, 12:16 PM"
V56605,V56605,56605,5705020566059,Vikan stofblik 56605 diverse kleuren wit,ChildProduct,Not Found,"€ 13,99","8/22/2025, 12:16 PM"
V6159,V6159,6159,5705020061592,Vikan Hygiene 6159 ophangrek 24cm zwart,ChildProduct,Not Found,"€ 23,34","8/22/2025, 12:16 PM"
V53916,V53916,53916,5705020539169,STANDALONE-Vikan Hygiene 53916 pijpenborstel medium vezels flex. kabel Ã90x200,ChildProduct,Not Found,"€ 15,96","8/22/2025, 12:16 PM"
V77336,V77336,77336,5705020773365,Vikan 7733-2 full colour cassette 50cm,ChildProduct,Not Found,"€ 15,08","8/22/2025, 12:16 PM"
V56884,V56884,56884,5705020568848,Vikan 5688 emmer 6 liter food approved,ChildProduct,Not Found,"€ 21,71","8/22/2025, 12:16 PM"
V53653,V53653,53653,5705020536533,Vikan Hygiene 5365 pijpenborstel medium 20cm diameter 20mm,ChildProduct,Not Found,"€ 12,61","8/22/2025, 12:17 PM"
V56895,V56895,56895,5705020568954,Vikan emmerdeksel 6 ltr,ChildProduct,Not Found,"€ 5,87","8/22/2025, 12:17 PM"
V70626,V70626,70626,5705020706264,Vikan Hygiene 70626 vloerschrobber hard 47cm,ChildProduct,Not Found,"€ 49,68","8/22/2025, 12:17 PM"
V5551302,V5551302,5551302,5705022009202,Vikan UST 5551302 detailborstel zacht 30x205mm groen,ChildProduct,Not Found,"€ 8,59","8/22/2025, 12:17 PM"
V77542,V77542,77542,5705020775420,Vikan 7754 klassieke vloertrekker 60cm vaste nek,ChildProduct,Not Found,"€ 32,28","8/22/2025, 12:17 PM"
V93242,V93242,93242,5705020932427,Vikan 93242 Heavy Duty waterpistool 25Bar,ChildProduct,Not Found,"€ 123,15","8/22/2025, 12:17 PM"
V71504,V71504,71504,5705020715044,Vikan 71504 Ultra Hygiene vloertrekker 50cm vaste nek rood,ChildProduct,Not Found,"€ 31,85","8/22/2025, 12:17 PM"
V31943,V31943,31943,5705020319433,Vikan Hygiene 31943 combiveger 60cm blauw,ChildProduct,Not Found,"€ 43,21","8/22/2025, 12:17 PM"
V29608,V29608,29608,5705020296086,Vikan 29608 ultra hygiene kunststof steel 130cm Paars,ChildProduct,Not Found,"€ 24,36","8/22/2025, 12:17 PM"
V5551305,V5551305,5551305,5705022009233,Vikan UST 5551305 detailborstel zacht 30x205mm wit,ChildProduct,Not Found,"€ 8,59","8/22/2025, 12:17 PM"
V31949,V31949,31949,5705020319495,Vikan Hygiene 31949 combiveger 60cm zwart,ChildProduct,Not Found,"€ 43,21","8/22/2025, 12:17 PM"
V56823,V56823,56823,5705022000513,Vikan Hygiene 56823 Schepbak 2 ltr div. blauw,ChildProduct,Not Found,"€ 11,35","8/22/2025, 12:17 PM"
V77223,V77223,77223,5705020772238,Vikan 7722 hygiene vloertrekker 40cm flexibele nek,ChildProduct,Not Found,"€ 32,68","8/22/2025, 12:17 PM"
V71604,V71604,71604,5705020716041,Vikan 7160 ultra hygiene vloertrekker 60cm vaste nek,ChildProduct,Not Found,"€ 34,84","8/22/2025, 12:17 PM"
V77356,V77356,77356,5705020773563,Vikan 7735-2 full colour cassette 70cm vaste nek,ChildProduct,Not Found,"€ 19,86","8/22/2025, 12:17 PM"
V77735,V77735,77735,5705020777356,STANDALONE-Vikan 7773-5 te cassette 50 cm,ChildProduct,Not Found,"€ 15,08","8/22/2025, 12:17 PM"
V40607,V40607,40607,5705020406072,"Vikan Hygiene 4060 handschraper 7,5 cm",ChildProduct,Not Found,"€ 3,90","8/22/2025, 12:17 PM"
V56863,V56863,56863,5705020568633,Vikan emmer 12 liter ook voor opslag ingredienten,ChildProduct,Not Found,"€ 27,75","8/22/2025, 12:17 PM"
V93243,V93243,93243,5705020932434,Vikan 93242 Heavy Duty waterpistool 25Bar,ChildProduct,Not Found,"€ 123,15","8/22/2025, 12:17 PM"
V56256,V56256,56256,5705020562563,Vikan schop D-gripHygiene 56256 104 cm lang - 27cm breed geel,ChildProduct,Not Found,"€ 37,01","8/22/2025, 12:17 PM"
V29204,V29204,29204,5705020292040,Vikan Hygiene 2920 bezem hard 53cm heavy duty,ChildProduct,Not Found,"€ 40,49","8/22/2025, 12:17 PM"
V77163,V77163,77163,5705020775635,Vikan Hygiene 7716-2 condenstrekker 40cm vaste nek,ChildProduct,Not Found,"€ 39,03","8/22/2025, 12:17 PM"
V70372,V70372,70372,5705020703720,Vikan Hygiene 7037-1 tankborstel hard 21cm,ChildProduct,Not Found,"€ 30,67","8/22/2025, 12:17 PM"
V77222,V77222,77222,5705020772221,Vikan 7722 hygiene vloertrekker 40cm flexibele nek,ChildProduct,Not Found,"€ 32,68","8/22/2025, 12:17 PM"
V77153,V77153,77153,5705020771538,Vikan 7715 hygiene vloertrekker 70cm vaste nek,ChildProduct,Not Found,"€ 35,32","8/22/2025, 12:17 PM"
V53753,V53753,53753,5705020537530,Vikan Hygiene pijpenborstel hard 10mm,ChildProduct,Not Found,"€ 6,88","8/22/2025, 12:17 PM"
V70353,V70353,70353,5705020703539,Vikan wormhuisborstelkop medium 135mm,ChildProduct,Not Found,Not Found,"8/22/2025, 12:17 PM"
V77335,V77335,77335,5705020773358,Vikan 7733-2 full colour cassette 50cm,ChildProduct,Not Found,"€ 15,08","8/22/2025, 12:17 PM"
V29379,V29379,29379,5705020293795,Vikan Hygiene 2937 aluminium steel 150 cm div.kleuren,ChildProduct,Not Found,"€ 24,38","8/22/2025, 12:17 PM"
V53914,V53914,53914,5705020539145,Vikan Hygiene pijpenborstel flexibel medium 90mm,ChildProduct,Not Found,"€ 15,96","8/22/2025, 12:17 PM"
V56875,V56875,56875,5705020568756,Vikan emmerdeksel 12 ltr,ChildProduct,Not Found,"€ 12,28","8/22/2025, 12:17 PM"
V56894,V56894,56894,5705020568947,Vikan emmerdeksel 6 ltr,ChildProduct,Not Found,"€ 5,87","8/22/2025, 12:17 PM"
V64402,V64402,64402,5705020644023,Vikan Hygiene 64402 nagelborstel hard Groen,ChildProduct,Not Found,"€ 5,72","8/22/2025, 12:17 PM"
V56704,V56704,56704,5705020567049,Handschep Vikan 56704 Hygiene 2 ltr diverse kleuren rood,ChildProduct,Not Found,"€ 11,04","8/22/2025, 12:17 PM"
V77242,V77242,77242,5705020772429,Vikan 7724 hygiene vloertrekker 60cm flexibele nek,ChildProduct,Not Found,"€ 38,33","8/22/2025, 12:17 PM"
V70354,V70354,70354,5705020703546,Vikan wormhuisborstelkop medium 135mm,ChildProduct,Not Found,"€ 26,68","8/22/2025, 12:17 PM"
